"",,Arbitragem
Arbitro:,Celio Amorim (ESP / SC),
Arbitro Assistente 1:,Thiaggo Americano Labes (CBF-1 / SC),
Arbitro Assistente 2:,Eder Alexandre (CBF-1 / SC),
Quarto Arbitro:,Italo Medeiros de Azevedo (CBF-2 / RN),
Assessor:,Erich Bandeira (ASS / PE),
Delegado Local:,Jorge Buregio de Lima Junior (000 / ),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,21:23Atraso:,,Não Houve Entrada do mandante: 22:31,Atraso:,,Não Houve
Entrada do visitante:,21:23Atraso:,,Não Houve Entrada do visitante: 21:32,Atraso:,,Não Houve
Início 1o Tempo:,21:30 Atraso:,,Não Houve Início do 2o Tempo: 22:33,Atraso:,,Não Houve
Término do 1o Tempo:,22:18 Acréscimo:,,3 min Término do 2o Tempo: 23:22,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 2 X 1,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,21:23,Atraso:,Não Houve Entrada do mandante:,22:31,Atraso:,Não Houve
Início 1o Tempo:,21:30,Atraso:,Não Houve,Início do 2o Tempo:,22:33,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Julio Cesar,Julio Cesar de Souza ...,T(g) P,150963,1,Klever,Klever Rodrigo Gomes...,T(g) P,178962
"",,Comissão Técnica
"",Náutico / PE,Atlético / GO
Técnico:,Givanildo Jose De Oliveira - 931503 PE,Técnico: Marcelo Ribeiro Cabo - 23847 P-RJ
Auxiliar Técnico:,Levi Marcelino Gomes - 631987 PB,Auxiliar Técnico: Rodolfo Andrade De Oliveira - 84484922 RJ
Médico:,Mucio B. Vaz De Almeida - 11161 PE,Médico: Eduardo De Morais Duarte - 16327 GO
Preparador Físico:,Wellington Jose Vero - 768 G-PE,Preparador Físico: Valdir Nogueira De Oliveira Junior - 8605 G-MG
Massagista:,Alexandre Batista Da Silva - 5556719 PE,Massagista: Charles Rodrigues Marcelino - 16306813 MG
Preparador De GoleiroW: ashington Paulino De Araujo - 1927654 PE,,Preparador De GoleiroM:a rcos Roberto De Medeiros - 3351 P-GO
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
01:00,2T,7,NR,Ronielson da Silva Barbosa,,Náutico/PE
15:00,2T,7,NR,Ronielson da Silva Barbosa,,Náutico/PE
45:00,2T,7,NR,Magno Damasceno Santos da Cruz,,Atlético/GO
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:ACRÉSCIMOS PARA RECUPERAR O TEMPO GASTO COM RETIRADAS DE ATLETAS LESIONADOS, SUBSTITUIÇÕES E DEMAIS PARALISAÇÕES.Observações EventuaisINFORMO QUE NÃO FOI POSSÍVEL COLHER A ASSINATURA NA COMUNICAÇÃO DE PENALIDADES, DO REPRESENTANTE DOCLUBE NAUTICO CAPIBARIBE, POR NÃO HAVER MAIS NINGUÉM NO VESTIÁRIO.SubstituiçõesTempo1T/2TEquipeEntrouSaiu25:002TAtlético/GO20 - Alison Henrique Mira11 - Gilson do Amaral25:002TAtlético/GO18 - Luiz Fernando Moraes dos  ...8 - Pedro Gonzaga34:002TNáutico/PE99 - Tiago Adan Fonseca11 - Bergson Gustavo Silveira  ...39:002TAtlético/GO19 - Lucas de Figueiredo Crisp ...9 - Luiz Severo Junior39:002TNáutico/PE23 - Renan Henrique Oliveira V ...29 - Vinicius Goes Barbosa de  ...43:002TNáutico/PE85 - Samuel Rosa Pereira8 - Rodrigo de Souza Fonseca"
"Motivo de atraso no início e/ou reinício, e de acréscimos:"
"ACRÉSCIMOS PARA RECUPERAR O TEMPO GASTO COM RETIRADAS DE ATLETAS LESIONADOS, SUBSTITUIÇÕES E DEMAIS PARALISAÇÕES."
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:ACRÉSCIMOS PARA RECUPERAR O TEMPO GASTO COM RETIRADAS DE ATLETAS LESIONADOS, SUBSTITUIÇÕES E DEMAIS PARALISAÇÕES.Observações EventuaisINFORMO QUE NÃO FOI POSSÍVEL COLHER A ASSINATURA NA COMUNICAÇÃO DE PENALIDADES, DO REPRESENTANTE DOCLUBE NAUTICO CAPIBARIBE, POR NÃO HAVER MAIS NINGUÉM NO VESTIÁRIO.SubstituiçõesTempo1T/2TEquipeEntrouSaiu25:002TAtlético/GO20 - Alison Henrique Mira11 - Gilson do Amaral25:002TAtlético/GO18 - Luiz Fernando Moraes dos  ...8 - Pedro Gonzaga34:002TNáutico/PE99 - Tiago Adan Fonseca11 - Bergson Gustavo Silveira  ...39:002TAtlético/GO19 - Lucas de Figueiredo Crisp ...9 - Luiz Severo Junior39:002TNáutico/PE23 - Renan Henrique Oliveira V ...29 - Vinicius Goes Barbosa de  ...43:002TNáutico/PE85 - Samuel Rosa Pereira8 - Rodrigo de Souza Fonseca"
Observações Eventuais
"INFORMO QUE NÃO FOI POSSÍVEL COLHER A ASSINATURA NA COMUNICAÇÃO DE PENALIDADES, DO REPRESENTANTE DO"
"CLUBE NAUTICO CAPIBARIBE, POR NÃO HAVER MAIS NINGUÉM NO VESTIÁRIO."
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:ACRÉSCIMOS PARA RECUPERAR O TEMPO GASTO COM RETIRADAS DE ATLETAS LESIONADOS, SUBSTITUIÇÕES E DEMAIS PARALISAÇÕES.Observações EventuaisINFORMO QUE NÃO FOI POSSÍVEL COLHER A ASSINATURA NA COMUNICAÇÃO DE PENALIDADES, DO REPRESENTANTE DOCLUBE NAUTICO CAPIBARIBE, POR NÃO HAVER MAIS NINGUÉM NO VESTIÁRIO.SubstituiçõesTempo1T/2TEquipeEntrouSaiu25:002TAtlético/GO20 - Alison Henrique Mira11 - Gilson do Amaral25:002TAtlético/GO18 - Luiz Fernando Moraes dos  ...8 - Pedro Gonzaga34:002TNáutico/PE99 - Tiago Adan Fonseca11 - Bergson Gustavo Silveira  ...39:002TAtlético/GO19 - Lucas de Figueiredo Crisp ...9 - Luiz Severo Junior39:002TNáutico/PE23 - Renan Henrique Oliveira V ...29 - Vinicius Goes Barbosa de  ...43:002TNáutico/PE85 - Samuel Rosa Pereira8 - Rodrigo de Souza Fonseca"
Ocorrências / Observações
Nada houve de anormal
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:ACRÉSCIMOS PARA RECUPERAR O TEMPO GASTO COM RETIRADAS DE ATLETAS LESIONADOS, SUBSTITUIÇÕES E DEMAIS PARALISAÇÕES.Observações EventuaisINFORMO QUE NÃO FOI POSSÍVEL COLHER A ASSINATURA NA COMUNICAÇÃO DE PENALIDADES, DO REPRESENTANTE DOCLUBE NAUTICO CAPIBARIBE, POR NÃO HAVER MAIS NINGUÉM NO VESTIÁRIO.SubstituiçõesTempo1T/2TEquipeEntrouSaiu25:002TAtlético/GO20 - Alison Henrique Mira11 - Gilson do Amaral25:002TAtlético/GO18 - Luiz Fernando Moraes dos  ...8 - Pedro Gonzaga34:002TNáutico/PE99 - Tiago Adan Fonseca11 - Bergson Gustavo Silveira  ...39:002TAtlético/GO19 - Lucas de Figueiredo Crisp ...9 - Luiz Severo Junior39:002TNáutico/PE23 - Renan Henrique Oliveira V ...29 - Vinicius Goes Barbosa de  ...43:002TNáutico/PE85 - Samuel Rosa Pereira8 - Rodrigo de Souza Fonseca",,,,
